Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:47:40

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	0.74421       
201.0000      	49751.2438    	0.36968       
202.0000      	49504.9505    	0.63544       
203.0000      	49261.0837    	-0.11612      
204.0000      	49019.6078    	-0.19183      
205.0000      	48780.4878    	-0.38631      
206.0000      	48543.6893    	-0.29934      
207.0000      	48309.1787    	-0.21561      
208.0000      	48076.9231    	0.30996       
209.0000      	47846.8900    	-0.00691      
210.0000      	47619.0476    	0.23622       
211.0000      	47393.3649    	-0.16087      
212.0000      	47169.8113    	0.07611       
213.0000      	46948.3568    	0.17129       
214.0000      	46728.9720    	-0.03287      
215.0000      	46511.6279    	0.00105       
216.0000      	46296.2963    	0.01110       
217.0000      	46082.9493    	0.14109       
218.0000      	45871.5596    	-0.05183      
219.0000      	45662.1005    	0.08770       
220.0000      	45454.5455    	-0.04998      
221.0000      	45248.8688    	0.05845       
222.0000      	45045.0450    	-0.02361      
223.0000      	44843.0493    	0.03239       
224.0000      	44642.8571    	0.03115       
225.0000      	44444.4444    	-0.07536      
226.0000      	44247.7876    	-0.02937      
227.0000      	44052.8634    	0.07054       
228.0000      	43859.6491    	0.02071       
229.0000      	43668.1223    	0.03558       
230.0000      	43478.2609    	-0.02993      
231.0000      	43290.0433    	-0.10088      
232.0000      	43103.4483    	-0.06513      
233.0000      	42918.4549    	0.05855       
234.0000      	42735.0427    	0.08828       
235.0000      	42553.1915    	0.03902       
236.0000      	42372.8814    	-0.02609      
237.0000      	42194.0928    	-0.06503      
238.0000      	42016.8067    	-0.00069      
239.0000      	41841.0042    	-0.00884      
240.0000      	41666.6667    	0.01746       
241.0000      	41493.7759    	0.00640       
242.0000      	41322.3140    	-0.00451      
243.0000      	41152.2634    	0.00741       
244.0000      	40983.6066    	0.03233       
245.0000      	40816.3265    	0.00918       
246.0000      	40650.4065    	-0.02681      
247.0000      	40485.8300    	-0.01888      
248.0000      	40322.5806    	-0.02041      
249.0000      	40160.6426    	0.00347       
250.0000      	40000.0000    	-0.00539      
251.0000      	39840.6375    	-0.02627      
252.0000      	39682.5397    	0.02595       
253.0000      	39525.6917    	0.01988       
254.0000      	39370.0787    	-0.00011      
255.0000      	39215.6863    	0.00619       
256.0000      	39062.5000    	0.02406       
257.0000      	38910.5058    	0.00768       
258.0000      	38759.6899    	-0.00410      
259.0000      	38610.0386    	0.00610       
260.0000      	38461.5385    	0.00483       
261.0000      	38314.1762    	0.00458       
262.0000      	38167.9389    	-0.00146      
263.0000      	38022.8137    	0.00826       
264.0000      	37878.7879    	0.00099       
265.0000      	37735.8491    	-0.01385      
266.0000      	37593.9850    	-0.00370      
267.0000      	37453.1835    	0.00032       
268.0000      	37313.4328    	-0.00418      
269.0000      	37174.7212    	-0.00430      
270.0000      	37037.0370    	0.00022       
271.0000      	36900.3690    	-0.00484      
272.0000      	36764.7059    	0.00043       
273.0000      	36630.0366    	0.00576       
274.0000      	36496.3504    	-0.00296      
275.0000      	36363.6364    	-0.00351      
276.0000      	36231.8841    	0.00991       
277.0000      	36101.0830    	0.00861       
278.0000      	35971.2230    	0.00154       
279.0000      	35842.2939    	0.00099       
280.0000      	35714.2857    	-0.00618      
281.0000      	35587.1886    	-0.00051      
282.0000      	35460.9929    	-0.00349      
283.0000      	35335.6890    	-0.00043      
284.0000      	35211.2676    	0.00200       
285.0000      	35087.7193    	-0.00550      
286.0000      	34965.0350    	-0.00069      
287.0000      	34843.2056    	0.00077       
288.0000      	34722.2222    	0.00698       
289.0000      	34602.0761    	-0.00869      
290.0000      	34482.7586    	0.00217       
291.0000      	34364.2612    	0.00614       
292.0000      	34246.5753    	0.01368       
293.0000      	34129.6928    	-0.00264      
294.0000      	34013.6054    	0.00289       
295.0000      	33898.3051    	0.00129       
296.0000      	33783.7838    	0.00231       
297.0000      	33670.0337    	-0.00158      
298.0000      	33557.0470    	0.00437       
299.0000      	33444.8161    	0.00232       
300.0000      	33333.3333    	0.00308       
301.0000      	33222.5914    	0.01071       
302.0000      	33112.5828    	0.00420       
303.0000      	33003.3003    	-0.00615      
304.0000      	32894.7368    	-0.00271      
305.0000      	32786.8852    	-0.00250      
306.0000      	32679.7386    	-0.00781      
307.0000      	32573.2899    	-0.00446      
308.0000      	32467.5325    	0.00236       
309.0000      	32362.4595    	0.00490       
310.0000      	32258.0645    	0.00229       
311.0000      	32154.3408    	0.00419       
312.0000      	32051.2821    	-0.00104      
313.0000      	31948.8818    	0.00546       
314.0000      	31847.1338    	0.00418       
315.0000      	31746.0317    	0.00026       
316.0000      	31645.5696    	-0.00827      
317.0000      	31545.7413    	-0.00155      
318.0000      	31446.5409    	0.00250       
319.0000      	31347.9624    	-0.00251      
320.0000      	31250.0000    	0.00544       
321.0000      	31152.6480    	-0.00240      
322.0000      	31055.9006    	-0.00006      
323.0000      	30959.7523    	0.00172       
324.0000      	30864.1975    	0.00186       
325.0000      	30769.2308    	0.00048       
326.0000      	30674.8466    	0.00287       
327.0000      	30581.0398    	0.00015       
328.0000      	30487.8049    	0.00048       
329.0000      	30395.1368    	0.00526       
330.0000      	30303.0303    	0.00005       
331.0000      	30211.4804    	-0.00196      
332.0000      	30120.4819    	0.00098       
333.0000      	30030.0300    	-0.00183      
334.0000      	29940.1198    	-0.00127      
335.0000      	29850.7463    	0.00211       
336.0000      	29761.9048    	-0.00299      
337.0000      	29673.5905    	-0.00218      
338.0000      	29585.7988    	0.00167       
339.0000      	29498.5251    	-0.00331      
340.0000      	29411.7647    	0.00214       
341.0000      	29325.5132    	0.00056       
342.0000      	29239.7661    	0.00145       
343.0000      	29154.5190    	0.00050       
344.0000      	29069.7674    	-0.00411      
345.0000      	28985.5072    	-0.00050      
346.0000      	28901.7341    	-0.00083      
347.0000      	28818.4438    	-0.00118      
348.0000      	28735.6322    	0.00015       
349.0000      	28653.2951    	0.00030       
350.0000      	28571.4286    	-0.00047      
351.0000      	28490.0285    	-0.00103      
352.0000      	28409.0909    	-0.00341      
353.0000      	28328.6119    	0.00006       
354.0000      	28248.5876    	-0.00258      
355.0000      	28169.0141    	-0.00013      
356.0000      	28089.8876    	-0.00063      
357.0000      	28011.2045    	-0.00011      
358.0000      	27932.9609    	0.00130       
359.0000      	27855.1532    	0.00091       
360.0000      	27777.7778    	-0.00350      
361.0000      	27700.8310    	-0.00050      
362.0000      	27624.3094    	-0.00002      
363.0000      	27548.2094    	0.00124       
364.0000      	27472.5275    	0.00009       
365.0000      	27397.2603    	0.00158       
366.0000      	27322.4044    	-0.00025      
367.0000      	27247.9564    	0.00036       
368.0000      	27173.9130    	0.00076       
369.0000      	27100.2710    	0.00149       
370.0000      	27027.0270    	-0.00237      
371.0000      	26954.1779    	-0.00237      
372.0000      	26881.7204    	0.00241       
373.0000      	26809.6515    	0.00060       
374.0000      	26737.9679    	0.00027       
375.0000      	26666.6667    	0.00053       
376.0000      	26595.7447    	0.00124       
377.0000      	26525.1989    	-0.00008      
378.0000      	26455.0265    	-0.00017      
379.0000      	26385.2243    	0.00022       
380.0000      	26315.7895    	0.00149       
381.0000      	26246.7192    	0.00193       
382.0000      	26178.0105    	0.00137       
383.0000      	26109.6606    	-0.00020      
384.0000      	26041.6667    	-0.00112      
385.0000      	25974.0260    	0.00187       
386.0000      	25906.7358    	0.00055       
387.0000      	25839.7933    	0.00056       
388.0000      	25773.1959    	-0.00075      
389.0000      	25706.9409    	0.00183       
390.0000      	25641.0256    	0.00350       
391.0000      	25575.4476    	0.00085       
392.0000      	25510.2041    	-0.00103      
393.0000      	25445.2926    	-0.00050      
394.0000      	25380.7107    	-0.00163      
395.0000      	25316.4557    	0.00016       
396.0000      	25252.5253    	-0.00056      
397.0000      	25188.9169    	-0.00002      
398.0000      	25125.6281    	0.00026       
399.0000      	25062.6566    	-0.00161      
400.0000      	25000.0000    	-0.00160      
401.0000      	24937.6559    	0.00108       
402.0000      	24875.6219    	0.00145       
403.0000      	24813.8958    	0.00010       
404.0000      	24752.4752    	-0.00024      
405.0000      	24691.3580    	0.00052       
406.0000      	24630.5419    	-0.00009      
407.0000      	24570.0246    	0.00024       
408.0000      	24509.8039    	-0.00001      
409.0000      	24449.8778    	-0.00162      
410.0000      	24390.2439    	0.00096       
411.0000      	24330.9002    	-0.00079      
412.0000      	24271.8447    	0.00040       
413.0000      	24213.0751    	0.00082       
414.0000      	24154.5894    	-0.00111      
415.0000      	24096.3855    	-0.00116      
416.0000      	24038.4615    	-0.00050      
417.0000      	23980.8153    	0.00172       
418.0000      	23923.4450    	0.00001       
419.0000      	23866.3484    	0.00055       
420.0000      	23809.5238    	0.00046       
421.0000      	23752.9691    	0.00021       
422.0000      	23696.6825    	0.00153       
423.0000      	23640.6619    	0.00041       
424.0000      	23584.9057    	0.00440       
425.0000      	23529.4118    	0.00053       
426.0000      	23474.1784    	0.00045       
427.0000      	23419.2037    	-0.00076      
428.0000      	23364.4860    	-0.00028      
429.0000      	23310.0233    	0.00215       
430.0000      	23255.8140    	-0.00071      
431.0000      	23201.8561    	-0.00003      
432.0000      	23148.1481    	-0.00013      
433.0000      	23094.6882    	-0.00042      
434.0000      	23041.4747    	0.00150       
435.0000      	22988.5057    	-0.00043      
436.0000      	22935.7798    	0.00161       
437.0000      	22883.2952    	0.00115       
438.0000      	22831.0502    	-0.00078      
439.0000      	22779.0433    	-0.00018      
440.0000      	22727.2727    	0.00052       
441.0000      	22675.7370    	-0.00001      
442.0000      	22624.4344    	0.00105       
443.0000      	22573.3634    	0.00066       
444.0000      	22522.5225    	0.00119       
445.0000      	22471.9101    	-0.00141      
446.0000      	22421.5247    	-0.00041      
447.0000      	22371.3647    	0.00178       
448.0000      	22321.4286    	0.00101       
449.0000      	22271.7149    	-0.00059      
450.0000      	22222.2222    	0.00079       
451.0000      	22172.9490    	0.00103       
452.0000      	22123.8938    	0.00268       
453.0000      	22075.0552    	0.00151       
454.0000      	22026.4317    	0.00010       
455.0000      	21978.0220    	0.00020       
456.0000      	21929.8246    	0.00022       
457.0000      	21881.8381    	0.00131       
458.0000      	21834.0611    	-0.00021      
459.0000      	21786.4924    	0.00281       
460.0000      	21739.1304    	0.00092       
461.0000      	21691.9740    	0.00070       
462.0000      	21645.0216    	0.00004       
463.0000      	21598.2721    	-0.00005      
464.0000      	21551.7241    	0.00038       
465.0000      	21505.3763    	0.00018       
466.0000      	21459.2275    	-0.00080      
467.0000      	21413.2762    	0.00068       
468.0000      	21367.5214    	-0.00011      
469.0000      	21321.9616    	0.00148       
470.0000      	21276.5957    	0.00047       
471.0000      	21231.4225    	0.00122       
472.0000      	21186.4407    	0.00043       
473.0000      	21141.6490    	0.00040       
474.0000      	21097.0464    	-0.00007      
475.0000      	21052.6316    	0.00097       
476.0000      	21008.4034    	0.00048       
477.0000      	20964.3606    	-0.00042      
478.0000      	20920.5021    	-0.00018      
479.0000      	20876.8267    	0.00015       
480.0000      	20833.3333    	0.00073       
481.0000      	20790.0208    	0.00035       
482.0000      	20746.8880    	0.00164       
483.0000      	20703.9337    	-0.00014      
484.0000      	20661.1570    	0.00003       
485.0000      	20618.5567    	0.00044       
486.0000      	20576.1317    	0.00047       
487.0000      	20533.8809    	0.00031       
488.0000      	20491.8033    	0.00035       
489.0000      	20449.8978    	0.00082       
490.0000      	20408.1633    	0.00081       
491.0000      	20366.5988    	0.00106       
492.0000      	20325.2033    	0.00068       
493.0000      	20283.9757    	0.00022       
494.0000      	20242.9150    	0.00035       
495.0000      	20202.0202    	0.00041       
496.0000      	20161.2903    	0.00015       
497.0000      	20120.7243    	0.00084       
498.0000      	20080.3213    	0.00037       
499.0000      	20040.0802    	0.00073       
500.0000      	20000.0000    	0.00035       
501.0000      	19960.0798    	0.00046       
502.0000      	19920.3187    	-0.00016      
503.0000      	19880.7157    	0.00109       
504.0000      	19841.2698    	0.00122       
505.0000      	19801.9802    	0.00193       
506.0000      	19762.8458    	0.00186       
507.0000      	19723.8659    	0.00150       
508.0000      	19685.0394    	0.00199       
509.0000      	19646.3654    	0.00204       
510.0000      	19607.8431    	0.00216       
511.0000      	19569.4716    	0.00268       
512.0000      	19531.2500    	0.00216       
513.0000      	19493.1774    	0.00253       
514.0000      	19455.2529    	0.00358       
515.0000      	19417.4757    	0.00387       
516.0000      	19379.8450    	0.00460       
517.0000      	19342.3598    	0.00419       
518.0000      	19305.0193    	0.00475       
519.0000      	19267.8227    	0.00499       
520.0000      	19230.7692    	0.00596       
521.0000      	19193.8580    	0.00655       
522.0000      	19157.0881    	0.00708       
523.0000      	19120.4589    	0.00699       
524.0000      	19083.9695    	0.00699       
525.0000      	19047.6190    	0.00796       
526.0000      	19011.4068    	0.00760       
527.0000      	18975.3321    	0.00712       
528.0000      	18939.3939    	0.00662       
529.0000      	18903.5917    	0.00622       
530.0000      	18867.9245    	0.00643       
531.0000      	18832.3917    	0.00634       
532.0000      	18796.9925    	0.00634       
533.0000      	18761.7261    	0.00577       
534.0000      	18726.5918    	0.00464       
535.0000      	18691.5888    	0.00432       
536.0000      	18656.7164    	0.00435       
537.0000      	18621.9739    	0.00434       
538.0000      	18587.3606    	0.00430       
539.0000      	18552.8757    	0.00403       
540.0000      	18518.5185    	0.00362       
541.0000      	18484.2884    	0.00372       
542.0000      	18450.1845    	0.00370       
543.0000      	18416.2063    	0.00344       
544.0000      	18382.3529    	0.00340       
545.0000      	18348.6239    	0.00268       
546.0000      	18315.0183    	0.00307       
547.0000      	18281.5356    	0.00258       
548.0000      	18248.1752    	0.00266       
549.0000      	18214.9362    	0.00274       
550.0000      	18181.8182    	0.00344       
551.0000      	18148.8203    	0.00338       
552.0000      	18115.9420    	0.00207       
553.0000      	18083.1826    	0.00237       
554.0000      	18050.5415    	0.00209       
555.0000      	18018.0180    	0.00220       
556.0000      	17985.6115    	0.00136       
557.0000      	17953.3214    	0.00055       
558.0000      	17921.1470    	0.00123       
559.0000      	17889.0877    	0.00177       
560.0000      	17857.1429    	0.00121       
561.0000      	17825.3119    	0.00124       
562.0000      	17793.5943    	0.00077       
563.0000      	17761.9893    	0.00067       
564.0000      	17730.4965    	0.00066       
565.0000      	17699.1150    	0.00176       
566.0000      	17667.8445    	0.00093       
567.0000      	17636.6843    	0.00086       
568.0000      	17605.6338    	0.00031       
569.0000      	17574.6924    	0.00079       
570.0000      	17543.8596    	0.00026       
571.0000      	17513.1349    	0.00120       
572.0000      	17482.5175    	0.00171       
573.0000      	17452.0070    	0.00050       
574.0000      	17421.6028    	0.00036       
575.0000      	17391.3043    	0.00135       
576.0000      	17361.1111    	0.00031       
577.0000      	17331.0225    	0.00066       
578.0000      	17301.0381    	0.00038       
579.0000      	17271.1572    	0.00004       
580.0000      	17241.3793    	-0.00012      
581.0000      	17211.7040    	0.00043       
582.0000      	17182.1306    	0.00076       
583.0000      	17152.6587    	0.00134       
584.0000      	17123.2877    	-0.00026      
585.0000      	17094.0171    	-0.00008      
586.0000      	17064.8464    	0.00075       
587.0000      	17035.7751    	0.00080       
588.0000      	17006.8027    	0.00000       
589.0000      	16977.9287    	0.00070       
590.0000      	16949.1525    	0.00057       
591.0000      	16920.4738    	-0.00030      
592.0000      	16891.8919    	0.00005       
593.0000      	16863.4064    	0.00060       
594.0000      	16835.0168    	-0.00033      
595.0000      	16806.7227    	0.00056       
596.0000      	16778.5235    	0.00072       
597.0000      	16750.4188    	-0.00001      
598.0000      	16722.4080    	-0.00006      
599.0000      	16694.4908    	0.00094       
600.0000      	16666.6667    	0.00105       
601.0000      	16638.9351    	-0.00028      
602.0000      	16611.2957    	0.00008       
603.0000      	16583.7479    	0.00001       
604.0000      	16556.2914    	0.00007       
605.0000      	16528.9256    	-0.00014      
606.0000      	16501.6502    	0.00004       
607.0000      	16474.4646    	0.00061       
608.0000      	16447.3684    	0.00057       
