Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:57:49

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	0.58662       
201.0000      	49751.2438    	0.41377       
202.0000      	49504.9505    	0.67847       
203.0000      	49261.0837    	-0.67185      
204.0000      	49019.6078    	-0.15415      
205.0000      	48780.4878    	-0.76232      
206.0000      	48543.6893    	-0.16118      
207.0000      	48309.1787    	-0.19666      
208.0000      	48076.9231    	-0.04359      
209.0000      	47846.8900    	0.10364       
210.0000      	47619.0476    	0.22572       
211.0000      	47393.3649    	-0.07843      
212.0000      	47169.8113    	0.02537       
213.0000      	46948.3568    	0.00463       
214.0000      	46728.9720    	0.06837       
215.0000      	46511.6279    	-0.03151      
216.0000      	46296.2963    	-0.05774      
217.0000      	46082.9493    	0.20288       
218.0000      	45871.5596    	0.00518       
219.0000      	45662.1005    	-0.06928      
220.0000      	45454.5455    	-0.04922      
221.0000      	45248.8688    	0.01559       
222.0000      	45045.0450    	-0.03959      
223.0000      	44843.0493    	-0.05772      
224.0000      	44642.8571    	0.05834       
225.0000      	44444.4444    	-0.10966      
226.0000      	44247.7876    	0.03915       
227.0000      	44052.8634    	0.08875       
228.0000      	43859.6491    	0.02858       
229.0000      	43668.1223    	0.07039       
230.0000      	43478.2609    	-0.03654      
231.0000      	43290.0433    	-0.01203      
232.0000      	43103.4483    	0.01611       
233.0000      	42918.4549    	-0.00836      
234.0000      	42735.0427    	-0.00250      
235.0000      	42553.1915    	0.02858       
236.0000      	42372.8814    	0.00253       
237.0000      	42194.0928    	0.00527       
238.0000      	42016.8067    	0.02576       
239.0000      	41841.0042    	0.00065       
240.0000      	41666.6667    	0.01584       
241.0000      	41493.7759    	-0.02600      
242.0000      	41322.3140    	-0.01246      
243.0000      	41152.2634    	0.00810       
244.0000      	40983.6066    	0.00431       
245.0000      	40816.3265    	0.00522       
246.0000      	40650.4065    	0.01063       
247.0000      	40485.8300    	0.01712       
248.0000      	40322.5806    	-0.01035      
249.0000      	40160.6426    	0.01706       
250.0000      	40000.0000    	-0.00655      
251.0000      	39840.6375    	-0.00424      
252.0000      	39682.5397    	0.02238       
253.0000      	39525.6917    	0.00648       
254.0000      	39370.0787    	-0.00323      
255.0000      	39215.6863    	-0.00031      
256.0000      	39062.5000    	0.00624       
257.0000      	38910.5058    	-0.00384      
258.0000      	38759.6899    	-0.00010      
259.0000      	38610.0386    	0.01633       
260.0000      	38461.5385    	0.00264       
261.0000      	38314.1762    	0.01321       
262.0000      	38167.9389    	-0.00969      
263.0000      	38022.8137    	0.00599       
264.0000      	37878.7879    	0.01433       
265.0000      	37735.8491    	-0.01711      
266.0000      	37593.9850    	-0.00670      
267.0000      	37453.1835    	0.01021       
268.0000      	37313.4328    	0.00201       
269.0000      	37174.7212    	-0.00460      
270.0000      	37037.0370    	-0.00015      
271.0000      	36900.3690    	-0.00623      
272.0000      	36764.7059    	0.00373       
273.0000      	36630.0366    	0.00936       
274.0000      	36496.3504    	0.00345       
275.0000      	36363.6364    	-0.01159      
276.0000      	36231.8841    	-0.00489      
277.0000      	36101.0830    	-0.00081      
278.0000      	35971.2230    	-0.00327      
279.0000      	35842.2939    	-0.00272      
280.0000      	35714.2857    	-0.00709      
281.0000      	35587.1886    	-0.00115      
282.0000      	35460.9929    	-0.00235      
283.0000      	35335.6890    	-0.00693      
284.0000      	35211.2676    	-0.00667      
285.0000      	35087.7193    	-0.00707      
286.0000      	34965.0350    	0.00584       
287.0000      	34843.2056    	0.00405       
288.0000      	34722.2222    	0.00046       
289.0000      	34602.0761    	-0.01092      
290.0000      	34482.7586    	0.00217       
291.0000      	34364.2612    	0.01179       
292.0000      	34246.5753    	0.00438       
